,High,Low,Open,Close,Volume,Adj Close
2021-02-18,4.670000076293945,4.320000171661377,4.400000095367432,4.349999904632568,102239018,4.349999904632568
2021-02-19,4.429999828338623,4.210000038146973,4.28000020980835,4.349999904632568,76744158,4.349999904632568
2021-02-22,4.550000190734863,4.21999979019165,4.300000190734863,4.230000019073486,99197516,4.230000019073486
2021-02-23,4.269999980926514,4.099999904632568,4.21999979019165,4.150000095367432,73132004,4.150000095367432
2021-02-24,4.570000171661377,4.119999885559082,4.170000076293945,4.570000171661377,150024543,4.570000171661377
2021-02-25,5.03000020980835,4.5,4.570000171661377,4.849999904632568,199134779,4.849999904632568
2021-02-26,5.190000057220459,4.679999828338623,4.690000057220459,4.710000038146973,198986065,4.710000038146973
2021-03-01,5.179999828338623,4.769999980926514,4.769999980926514,5.179999828338623,161884822,5.179999828338623
2021-03-02,5.260000228881836,4.659999847412109,5.21999979019165,4.659999847412109,198935380,4.659999847412109
2021-03-03,4.739999771118164,4.46999979019165,4.579999923706055,4.670000076293945,125066708,4.670000076293945
2021-03-04,4.840000152587891,4.559999942779541,4.599999904632568,4.690000057220459,113235120,4.690000057220459
2021-03-05,4.679999828338623,4.400000095367432,4.639999866485596,4.480000019073486,73655217,4.480000019073486
2021-03-08,4.550000190734863,4.300000190734863,4.480000019073486,4.300000190734863,65482257,4.300000190734863
2021-03-09,4.349999904632568,4.050000190734863,4.300000190734863,4.130000114440918,63125309,4.130000114440918
2021-03-10,4.309999942779541,4.130000114440918,4.139999866485596,4.170000076293945,50355953,4.170000076293945
2021-03-11,4.449999809265137,4.130000114440918,4.150000095367432,4.349999904632568,69724448,4.349999904632568
2021-03-12,4.360000133514404,4.239999771118164,4.349999904632568,4.320000171661377,48586653,4.320000171661377
2021-03-15,4.340000152587891,4.21999979019165,4.260000228881836,4.28000020980835,31339477,4.28000020980835
2021-03-16,4.409999847412109,4.260000228881836,4.309999942779541,4.360000133514404,45790184,4.360000133514404
2021-03-17,4.420000076293945,4.309999942779541,4.329999923706055,4.369999885559082,40127493,4.369999885559082
2021-03-18,4.679999828338623,4.360000133514404,4.380000114440918,4.53000020980835,82111397,4.53000020980835
2021-03-19,4.559999942779541,4.28000020980835,4.440000057220459,4.289999961853027,63315735,4.289999961853027
2021-03-22,4.400000095367432,4.210000038146973,4.269999980926514,4.360000133514404,44991403,4.360000133514404
2021-03-23,4.369999885559082,4.130000114440918,4.349999904632568,4.130000114440918,48783557,4.130000114440918
2021-03-24,4.25,4.099999904632568,4.110000133514404,4.21999979019165,36616346,4.21999979019165
2021-03-25,4.21999979019165,3.9000000953674316,4.179999828338623,3.940000057220459,58018669,3.940000057220459
2021-03-26,4.050000190734863,3.940000057220459,3.9600000381469727,3.990000009536743,32908163,3.990000009536743
2021-03-29,4.090000152587891,3.9000000953674316,3.9600000381469727,4.019999980926514,32484942,4.019999980926514
2021-03-30,4.179999828338623,3.930000066757202,3.9800000190734863,4.070000171661377,41799433,4.070000171661377
2021-03-31,4.070000171661377,3.9800000190734863,4.039999961853027,3.9800000190734863,26527244,3.9800000190734863
2021-04-01,4.21999979019165,3.9600000381469727,3.9800000190734863,4.119999885559082,47020599,4.119999885559082
2021-04-02,4.230000019073486,4.079999923706055,4.090000152587891,4.159999847412109,44115617,4.159999847412109
2021-04-06,4.329999923706055,4.090000152587891,4.130000114440918,4.210000038146973,45291451,4.210000038146973
2021-04-07,4.619999885559082,4.210000038146973,4.260000228881836,4.420000076293945,71748952,4.420000076293945
2021-04-08,4.539999961853027,4.309999942779541,4.400000095367432,4.480000019073486,68637825,4.480000019073486
2021-04-09,4.610000133514404,4.269999980926514,4.320000171661377,4.46999979019165,81207996,4.46999979019165
2021-04-12,4.570000171661377,4.349999904632568,4.460000038146973,4.429999828338623,52830689,4.429999828338623
2021-04-13,4.639999866485596,4.340000152587891,4.380000114440918,4.599999904632568,76601901,4.599999904632568
2021-04-14,4.840000152587891,4.510000228881836,4.53000020980835,4.659999847412109,99725524,4.659999847412109
2021-04-15,4.71999979019165,4.480000019073486,4.619999885559082,4.639999866485596,74791477,4.639999866485596
2021-04-16,4.840000152587891,4.599999904632568,4.630000114440918,4.679999828338623,77185627,4.679999828338623
2021-04-19,4.630000114440918,4.400000095367432,4.599999904632568,4.570000171661377,64448878,4.570000171661377
2021-04-20,5.03000020980835,4.53000020980835,4.550000190734863,4.789999961853027,113819052,4.789999961853027
2021-04-21,5.269999980926514,4.730000019073486,4.730000019073486,5.119999885559082,201428247,5.119999885559082
2021-04-22,5.320000171661377,4.989999771118164,5.159999847412109,5.090000152587891,166737540,5.090000152587891
2021-04-23,5.170000076293945,4.909999847412109,5.010000228881836,4.949999809265137,92374347,4.949999809265137
2021-04-26,5.210000038146973,4.860000133514404,4.920000076293945,4.960000038146973,103261357,4.960000038146973
2021-04-27,5.139999866485596,4.820000171661377,4.900000095367432,5.139999866485596,118006368,5.139999866485596
2021-04-28,5.650000095367432,5.0,5.090000152587891,5.650000095367432,204567413,5.650000095367432
