,High,Low,Open,Close,Volume,Adj Close
2021-02-18,4.940000057220459,4.840000152587891,4.880000114440918,4.909999847412109,48144262,4.909999847412109
2021-02-19,5.03000020980835,4.880000114440918,4.889999866485596,5.03000020980835,48869128,5.03000020980835
2021-02-22,5.260000228881836,5.03000020980835,5.03000020980835,5.190000057220459,105408993,5.190000057220459
2021-02-23,5.239999771118164,5.090000152587891,5.170000076293945,5.119999885559082,63359412,5.119999885559082
2021-02-24,5.21999979019165,5.110000133514404,5.110000133514404,5.179999828338623,70799082,5.179999828338623
2021-02-25,5.320000171661377,5.170000076293945,5.199999809265137,5.269999980926514,81502551,5.269999980926514
2021-02-26,5.239999771118164,5.079999923706055,5.199999809265137,5.170000076293945,67629918,5.170000076293945
2021-03-01,5.179999828338623,5.050000190734863,5.170000076293945,5.110000133514404,64273881,5.110000133514404
2021-03-02,5.300000190734863,5.099999904632568,5.130000114440918,5.170000076293945,74116853,5.170000076293945
2021-03-03,5.28000020980835,5.130000114440918,5.179999828338623,5.260000228881836,58846703,5.260000228881836
2021-03-04,5.340000152587891,5.179999828338623,5.21999979019165,5.230000019073486,65531021,5.230000019073486
2021-03-05,5.289999961853027,5.130000114440918,5.230000019073486,5.21999979019165,54908110,5.21999979019165
2021-03-08,5.579999923706055,5.369999885559082,5.369999885559082,5.429999828338623,178582215,5.429999828338623
2021-03-09,5.5,5.199999809265137,5.400000095367432,5.320000171661377,128848677,5.320000171661377
2021-03-10,5.420000076293945,5.239999771118164,5.349999904632568,5.28000020980835,78784667,5.28000020980835
2021-03-11,5.360000133514404,5.199999809265137,5.239999771118164,5.329999923706055,75361082,5.329999923706055
2021-03-12,5.769999980926514,5.269999980926514,5.320000171661377,5.599999904632568,225113390,5.599999904632568
2021-03-15,5.769999980926514,5.5,5.570000171661377,5.639999866485596,164077352,5.639999866485596
2021-03-16,5.739999771118164,5.519999980926514,5.639999866485596,5.659999847412109,138083579,5.659999847412109
2021-03-17,5.610000133514404,5.429999828338623,5.610000133514404,5.460000038146973,111644091,5.460000038146973
2021-03-18,5.579999923706055,5.429999828338623,5.460000038146973,5.480000019073486,88748782,5.480000019073486
2021-03-19,5.570000171661377,5.380000114440918,5.429999828338623,5.489999771118164,97910879,5.489999771118164
2021-03-22,5.730000019073486,5.510000228881836,5.550000190734863,5.710000038146973,143713425,5.710000038146973
2021-03-23,5.739999771118164,5.5,5.730000019073486,5.519999980926514,109976944,5.519999980926514
2021-03-24,5.690000057220459,5.460000038146973,5.480000019073486,5.650000095367432,108865232,5.650000095367432
2021-03-25,5.619999885559082,5.360000133514404,5.610000133514404,5.369999885559082,115001286,5.369999885559082
2021-03-26,5.519999980926514,5.349999904632568,5.369999885559082,5.480000019073486,79557172,5.480000019073486
2021-03-29,5.579999923706055,5.429999828338623,5.440000057220459,5.5,63904357,5.5
2021-03-30,5.480000019073486,5.329999923706055,5.46999979019165,5.389999866485596,74622568,5.389999866485596
2021-03-31,5.570000171661377,5.340000152587891,5.380000114440918,5.5,91005358,5.5
2021-04-01,5.539999961853027,5.420000076293945,5.460000038146973,5.449999809265137,53354686,5.449999809265137
2021-04-02,5.5,5.309999942779541,5.489999771118164,5.320000171661377,78850935,5.320000171661377
2021-04-06,5.360000133514404,5.260000228881836,5.320000171661377,5.340000152587891,42022651,5.340000152587891
2021-04-07,5.440000057220459,5.329999923706055,5.340000152587891,5.400000095367432,53431306,5.400000095367432
2021-04-08,5.389999866485596,5.320000171661377,5.380000114440918,5.340000152587891,39060201,5.340000152587891
2021-04-09,5.349999904632568,5.269999980926514,5.309999942779541,5.28000020980835,47049441,5.28000020980835
2021-04-12,5.340000152587891,5.239999771118164,5.260000228881836,5.289999961853027,43388173,5.289999961853027
2021-04-13,5.300000190734863,5.21999979019165,5.269999980926514,5.25,34585297,5.25
2021-04-14,5.440000057220459,5.230000019073486,5.239999771118164,5.409999847412109,77900137,5.409999847412109
2021-04-15,5.360000133514404,5.239999771118164,5.360000133514404,5.260000228881836,57257099,5.260000228881836
2021-04-16,5.360000133514404,5.230000019073486,5.25,5.329999923706055,47721082,5.329999923706055
2021-04-19,5.340000152587891,5.28000020980835,5.28000020980835,5.320000171661377,40026007,5.320000171661377
2021-04-20,5.340000152587891,5.289999961853027,5.329999923706055,5.309999942779541,28728943,5.309999942779541
2021-04-21,5.300000190734863,5.239999771118164,5.289999961853027,5.239999771118164,32613907,5.239999771118164
2021-04-22,5.28000020980835,5.230000019073486,5.260000228881836,5.239999771118164,22237500,5.239999771118164
2021-04-23,5.269999980926514,5.099999904632568,5.25,5.099999904632568,58253307,5.099999904632568
2021-04-26,5.190000057220459,5.079999923706055,5.099999904632568,5.110000133514404,42750383,5.110000133514404
2021-04-27,5.159999847412109,5.039999961853027,5.150000095367432,5.070000171661377,37842871,5.070000171661377
2021-04-28,5.25,5.079999923706055,5.099999904632568,5.239999771118164,53977066,5.239999771118164
2021-04-29,5.260000228881836,5.190000057220459,5.230000019073486,5.230000019073486,32021854,5.230000019073486
2021-04-30,5.239999771118164,5.150000095367432,5.230000019073486,5.21999979019165,30800580,5.21999979019165
2021-05-06,5.269999980926514,5.170000076293945,5.170000076293945,5.230000019073486,33022211,5.230000019073486
2021-05-07,5.389999866485596,5.230000019073486,5.230000019073486,5.360000133514404,67016412,5.360000133514404
2021-05-10,5.380000114440918,5.320000171661377,5.349999904632568,5.369999885559082,41376546,5.369999885559082
2021-05-11,5.409999847412109,5.329999923706055,5.360000133514404,5.340000152587891,33106196,5.340000152587891
2021-05-12,5.349999904632568,5.28000020980835,5.340000152587891,5.329999923706055,34201240,5.329999923706055
2021-05-13,5.380000114440918,5.289999961853027,5.320000171661377,5.300000190734863,33161292,5.300000190734863
2021-05-14,5.380000114440918,5.309999942779541,5.329999923706055,5.349999904632568,33669312,5.349999904632568
2021-05-17,5.409999847412109,5.309999942779541,5.340000152587891,5.369999885559082,39737548,5.369999885559082
2021-05-18,5.409999847412109,5.349999904632568,5.389999866485596,5.369999885559082,33053627,5.369999885559082
2021-05-19,5.429999828338623,5.349999904632568,5.389999866485596,5.389999866485596,41158324,5.389999866485596
2021-05-20,5.639999866485596,5.360000133514404,5.480000019073486,5.360000133514404,102013023,5.360000133514404
2021-05-21,5.349999904632568,5.210000038146973,5.300000190734863,5.25,67160887,5.25
